Month,Revenue,Payouts,Payout Ratio,Marketing,Fixed Costs,Total Costs,Net Cashflow,Bank Balance
Month 1,"€25,000","€12,500",50.0%,"€3,750","€100,000","€116,250","€-91,250","€2,908,750"
Month 2,"€30,000","€15,000",50.0%,"€4,500","€100,000","€119,500","€-89,500","€2,819,250"
Month 3,"€36,000","€18,000",50.0%,"€5,400","€100,000","€123,400","€-87,400","€2,731,850"
Month 4,"€43,200","€21,600",50.0%,"€6,480","€100,000","€128,080","€-84,880","€2,646,970"
Month 5,"€51,840","€25,920",50.0%,"€7,776","€100,000","€133,696","€-81,856","€2,565,114"
Month 6,"€62,208","€31,104",50.0%,"€9,331","€100,000","€140,435","€-78,227","€2,486,887"
Month 7,"€74,650","€37,325",50.0%,"€11,197","€100,000","€148,522","€-73,873","€2,413,014"
Month 8,"€89,580","€44,790",50.0%,"€13,437","€100,000","€158,227","€-68,647","€2,344,367"
Month 9,"€107,495","€53,748",50.0%,"€16,124","€100,000","€169,872","€-62,377","€2,281,990"
Month 10,"€128,995","€64,497",50.0%,"€19,349","€100,000","€183,846","€-54,852","€2,227,138"
Month 11,"€154,793","€77,397",50.0%,"€23,219","€100,000","€200,616","€-45,822","€2,181,316"
Month 12,"€185,752","€92,876",50.0%,"€27,863","€100,000","€220,739","€-34,987","€2,146,329"
